ID,Statistical Division or Subdivision,LGA,Offence category,Subcategory,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
6813,Central West,Parkes,Against justice procedures,Escape custody,1,1,0,0,1,2,1,2,1,0,1
6814,Central West,Parkes,Against justice procedures,Breach Apprehended Violence Order,46,48,31,32,54,50,45,50,57,60,39
6815,Central West,Parkes,Against justice procedures,Breach bail conditions,19,13,22,17,54,83,78,72,64,105,93
6816,Central West,Parkes,Against justice procedures,Fail to appear,1,3,0,1,2,1,0,0,0,0,0
6817,Central West,Parkes,Against justice procedures,Resist or hinder officer,32,38,25,21,30,20,51,21,50,46,41
6818,Central West,Parkes,Against justice procedures,Other offences against justice procedures,3,3,2,6,2,0,1,0,0,3,1
6819,Central West,Parkes,Transport regulatory offences,,0,2,0,1,1,2,1,2,1,0,1
6820,Central West,Parkes,Other offences,,68,57,71,59,55,78,66,52,67,80,67
6821,Central West,Weddin,Homicide,Murder (a),0,0,0,0,0,0,0,0,0,0,0
6822,Central West,Weddin,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,0,0
6823,Central West,Weddin,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
6824,Central West,Weddin,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
6825,Central West,Weddin,Assault,Domestic violence related assault,14,8,8,5,17,10,13,1,7,8,4
6826,Central West,Weddin,Assault,Non-domestic violence related assault,20,21,13,23,20,15,25,15,10,11,11
6827,Central West,Weddin,Assault,Assault Police,4,3,3,4,2,4,1,2,0,0,0
6828,Central West,Weddin,Sexual offences,Sexual assault,1,1,0,3,3,3,0,1,3,2,1
6829,Central West,Weddin,Sexual offences,"Indecent assault, act of indecency and other sexual offences",3,3,2,6,2,5,3,2,3,5,3
6830,Central West,Weddin,Abduction and kidnapping,,0,0,0,0,0,0,0,0,0,0,2
6831,Central West,Weddin,Robbery,Robbery without a weapon,1,1,0,0,1,0,1,1,0,0,0
6832,Central West,Weddin,Robbery,Robbery with a firearm,0,0,0,0,0,0,0,0,0,0,0
6833,Central West,Weddin,Robbery,Robbery with a weapon not a firearm,0,0,0,0,1,0,0,0,0,0,0
6834,Central West,Weddin,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0
6835,Central West,Weddin,"Harassment, threatening behaviour and private nuisance",,12,24,17,11,30,8,12,13,14,23,7
6836,Central West,Weddin,Other offences against the person,,0,2,0,0,1,0,0,1,2,0,1
6837,Central West,Weddin,Theft,Break and enter dwelling,27,20,18,16,19,6,6,13,12,10,14
6838,Central West,Weddin,Theft,Break and enter non-dwelling,20,19,8,14,4,8,10,16,7,5,5
6839,Central West,Weddin,Theft,Receiving or handling stolen goods,11,2,1,0,1,1,2,1,1,5,0
6840,Central West,Weddin,Theft,Motor vehicle theft,8,7,5,1,5,3,0,0,4,3,5
6841,Central West,Weddin,Theft,Steal from motor vehicle,10,5,6,13,5,5,5,10,5,2,5
6842,Central West,Weddin,Theft,Steal from retail store,7,1,2,4,2,1,2,1,0,0,1
6843,Central West,Weddin,Theft,Steal from dwelling,22,19,24,17,23,4,17,11,7,10,8
6844,Central West,Weddin,Theft,Steal from person,0,1,0,1,1,0,1,0,1,0,0
6845,Central West,Weddin,Theft,Stock theft,4,3,1,1,3,3,2,2,0,7,1
6846,Central West,Weddin,Theft,Fraud,8,12,6,1,2,3,6,2,5,6,2
6847,Central West,Weddin,Theft,Other theft,36,17,16,15,25,10,2,8,14,8,4
6848,Central West,Weddin,Arson,,2,7,2,0,0,2,1,2,2,1,2
6849,Central West,Weddin,Malicious damage to property,,56,58,53,50,48,50,38,28,36,33,25
6850,Central West,Weddin,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,0,0,0,0
6851,Central West,Weddin,Drug offences,Possession and/or use of narcotics,0,0,0,0,0,0,0,0,0,0,0
6852,Central West,Weddin,Drug offences,Possession and/or use of cannabis,4,0,2,4,3,2,1,3,7,7,3
6853,Central West,Weddin,Drug offences,Possession and/or use of amphetamines,0,1,0,1,0,1,0,0,0,0,0
6854,Central West,Weddin,Drug offences,Possession and/or use of ecstasy,0,0,0,0,0,0,0,0,0,0,0
6855,Central West,Weddin,Drug offences,Possession and/or use of other drugs,0,0,0,1,0,0,0,0,0,0,0
6856,Central West,Weddin,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
6857,Central West,Weddin,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0
6858,Central West,Weddin,Drug offences,"Dealing, trafficking in cannabis",0,0,0,3,0,0,0,0,1,0,0
6859,Central West,Weddin,Drug offences,"Dealing, trafficking in amphetamines",0,0,0,0,0,0,0,0,0,0,0
6860,Central West,Weddin,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0
6861,Central West,Weddin,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,0,0,0,0
6862,Central West,Weddin,Drug offences,Cultivating cannabis,1,0,0,1,0,0,0,0,0,0,0
6863,Central West,Weddin,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0
6864,Central West,Weddin,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
6865,Central West,Weddin,Drug offences,Other drug offences,1,0,0,1,0,0,1,0,1,0,0
6866,Central West,Weddin,Prohibited and regulated weapons offences,,3,25,15,6,11,3,2,5,2,3,1
6867,Central West,Weddin,Disorderly conduct,Trespass,6,3,4,12,18,11,11,13,4,7,6
6868,Central West,Weddin,Disorderly conduct,Offensive conduct,7,12,5,5,4,7,7,2,9,3,3
6869,Central West,Weddin,Disorderly conduct,Offensive language,7,9,6,10,9,4,6,4,3,2,2
6870,Central West,Weddin,Disorderly conduct,Criminal intent,0,0,1,0,0,0,0,0,0,0,0
6871,Central West,Weddin,Betting and gaming offences,,0,0,0,0,0,0,0,3,0,0,0
6872,Central West,Weddin,Liquor offences,,20,17,11,14,30,57,10,8,16,11,1
6873,Central West,Weddin,Pornography offences,,0,0,0,0,0,0,0,0,0,0,0
6874,Central West,Weddin,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
6875,Central West,Weddin,Against justice procedures,Escape custody,0,0,0,0,1,0,1,0,0,0,0
6876,Central West,Weddin,Against justice procedures,Breach Apprehended Violence Order,11,10,5,1,8,4,7,2,7,4,1
6877,Central West,Weddin,Against justice procedures,Breach bail conditions,20,6,11,3,15,4,9,1,4,4,1
6878,Central West,Weddin,Against justice procedures,Fail to appear,0,0,0,0,0,0,0,0,0,0,0
6879,Central West,Weddin,Against justice procedures,Resist or hinder officer,9,10,3,5,9,8,7,2,6,1,0
6880,Central West,Weddin,Against justice procedures,Other offences against justice procedures,1,1,0,0,0,0,0,0,0,0,0
6881,Central West,Weddin,Transport regulatory offences,,0,0,0,0,0,0,0,1,1,0,0
6882,Central West,Weddin,Other offences,,17,18,12,39,20,32,9,5,8,5,3
6883,South Eastern,Bega Valley,Homicide,Murder (a),1,0,0,0,0,0,3,0,0,0,0
6884,South Eastern,Bega Valley,Homicide,Attempted murder,0,0,0,1,5,0,0,0,0,0,0
6885,South Eastern,Bega Valley,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
6886,South Eastern,Bega Valley,Homicide,Manslaughter (a),0,0,0,1,0,0,0,0,0,0,0
6887,South Eastern,Bega Valley,Assault,Domestic violence related assault,109,131,118,136,121,96,114,113,100,119,116
6888,South Eastern,Bega Valley,Assault,Non-domestic violence related assault,180,205,189,221,195,155,171,154,152,163,187
6889,South Eastern,Bega Valley,Assault,Assault Police,12,14,18,9,29,10,11,11,10,8,6
6890,South Eastern,Bega Valley,Sexual offences,Sexual assault,22,20,25,20,15,25,42,32,22,14,16
6891,South Eastern,Bega Valley,Sexual offences,"Indecent assault, act of indecency and other sexual offences",34,19,38,38,18,18,40,26,16,28,29
6892,South Eastern,Bega Valley,Abduction and kidnapping,,0,0,1,0,0,0,0,0,1,0,0
6893,South Eastern,Bega Valley,Robbery,Robbery without a weapon,4,1,2,4,4,2,2,1,3,1,1
6894,South Eastern,Bega Valley,Robbery,Robbery with a firearm,0,0,0,0,0,0,0,0,0,0,0
6895,South Eastern,Bega Valley,Robbery,Robbery with a weapon not a firearm,1,0,0,0,2,1,0,0,1,0,1
6896,South Eastern,Bega Valley,Blackmail and extortion,,0,0,0,0,0,0,1,0,0,0,0
6897,South Eastern,Bega Valley,"Harassment, threatening behaviour and private nuisance",,70,102,80,114,111,112,116,121,135,144,136
6898,South Eastern,Bega Valley,Other offences against the person,,4,6,2,5,4,3,6,4,7,11,5
6899,South Eastern,Bega Valley,Theft,Break and enter dwelling,111,111,115,127,132,93,112,111,124,86,68
6900,South Eastern,Bega Valley,Theft,Break and enter non-dwelling,155,239,254,299,167,268,220,179,99,95,90
6901,South Eastern,Bega Valley,Theft,Receiving or handling stolen goods,21,27,44,35,16,13,18,10,18,13,14
6902,South Eastern,Bega Valley,Theft,Motor vehicle theft,37,55,65,99,73,56,58,48,34,28,19
6903,South Eastern,Bega Valley,Theft,Steal from motor vehicle,146,162,203,192,131,145,168,152,108,144,125
6904,South Eastern,Bega Valley,Theft,Steal from retail store,74,80,62,64,50,36,54,63,61,34,50
6905,South Eastern,Bega Valley,Theft,Steal from dwelling,137,153,150,150,142,120,95,98,110,83,80
6906,South Eastern,Bega Valley,Theft,Steal from person,12,8,8,7,14,6,1,19,14,9,7
6907,South Eastern,Bega Valley,Theft,Stock theft,6,5,6,7,5,12,8,6,1,3,3
6908,South Eastern,Bega Valley,Theft,Fraud,95,85,66,46,81,65,62,56,52,52,39
6909,South Eastern,Bega Valley,Theft,Other theft,274,290,271,253,209,172,167,207,180,149,137
6910,South Eastern,Bega Valley,Arson,,21,17,11,25,26,12,16,24,18,11,17
6911,South Eastern,Bega Valley,Malicious damage to property,,451,508,517,540,517,444,468,455,388,406,388
6912,South Eastern,Bega Valley,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,1,0,0,0
6913,South Eastern,Bega Valley,Drug offences,Possession and/or use of narcotics,0,0,1,2,0,0,1,0,0,0,0
6914,South Eastern,Bega Valley,Drug offences,Possession and/or use of cannabis,80,82,65,66,70,73,98,85,130,156,136
6915,South Eastern,Bega Valley,Drug offences,Possession and/or use of amphetamines,1,4,6,8,8,1,6,5,11,21,15
6916,South Eastern,Bega Valley,Drug offences,Possession and/or use of ecstasy,0,0,0,4,3,4,1,0,0,2,6
6917,South Eastern,Bega Valley,Drug offences,Possession and/or use of other drugs,2,7,4,5,0,2,2,4,1,4,11
6918,South Eastern,Bega Valley,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
6919,South Eastern,Bega Valley,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0
6920,South Eastern,Bega Valley,Drug offences,"Dealing, trafficking in cannabis",0,5,3,11,3,2,0,0,2,3,15
6921,South Eastern,Bega Valley,Drug offences,"Dealing, trafficking in amphetamines",1,5,6,20,1,0,0,0,2,1,3
6922,South Eastern,Bega Valley,Drug offences,"Dealing, trafficking in ecstasy",0,0,1,3,0,0,1,0,0,1,1
6923,South Eastern,Bega Valley,Drug offences,"Dealing, trafficking in other drugs",1,1,1,1,1,0,0,0,0,1,0
6924,South Eastern,Bega Valley,Drug offences,Cultivating cannabis,21,24,32,30,21,24,21,20,25,24,33
6925,South Eastern,Bega Valley,Drug offences,Manufacture drug,0,0,0,0,0,0,3,1,1,1,1
6926,South Eastern,Bega Valley,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,4
6927,South Eastern,Bega Valley,Drug offences,Other drug offences,25,18,9,8,9,21,15,22,21,23,19
6928,South Eastern,Bega Valley,Prohibited and regulated weapons offences,,59,35,38,29,27,27,53,38,31,49,46
6929,South Eastern,Bega Valley,Disorderly conduct,Trespass,40,57,57,62,66,57,61,57,53,61,49
6930,South Eastern,Bega Valley,Disorderly conduct,Offensive conduct,34,48,38,77,65,76,103,85,50,63,50
6931,South Eastern,Bega Valley,Disorderly conduct,Offensive language,26,31,21,32,58,35,71,42,36,42,37
6932,South Eastern,Bega Valley,Disorderly conduct,Criminal intent,5,5,5,2,3,9,4,10,6,14,4
6933,South Eastern,Bega Valley,Betting and gaming offences,,0,0,0,0,3,0,2,0,0,0,0
6934,South Eastern,Bega Valley,Liquor offences,,68,78,90,152,166,224,200,171,104,104,94
6935,South Eastern,Bega Valley,Pornography offences,,1,0,0,1,0,1,4,0,0,2,1
6936,South Eastern,Bega Valley,Prostitution offences,,0,0,0,0,0,0,1,0,0,0,0
6937,South Eastern,Bega Valley,Against justice procedures,Escape custody,0,0,0,3,1,1,2,2,2,1,3
6938,South Eastern,Bega Valley,Against justice procedures,Breach Apprehended Violence Order,67,107,93,101,78,64,65,89,52,80,65
6939,South Eastern,Bega Valley,Against justice procedures,Breach bail conditions,14,30,35,62,48,46,64,63,66,65,41
6940,South Eastern,Bega Valley,Against justice procedures,Fail to appear,2,3,4,2,1,1,0,1,1,1,2
6941,South Eastern,Bega Valley,Against justice procedures,Resist or hinder officer,32,33,37,60,42,54,38,47,43,25,28
6942,South Eastern,Bega Valley,Against justice procedures,Other offences against justice procedures,13,7,12,3,1,2,1,2,2,8,7
6943,South Eastern,Bega Valley,Transport regulatory offences,,1,8,3,3,2,0,1,2,1,0,0
6944,South Eastern,Bega Valley,Other offences,,118,214,202,171,173,193,170,220,209,187,187
6945,South Eastern,Bombala,Homicide,Murder (a),0,0,0,0,0,0,0,0,0,0,0
6946,South Eastern,Bombala,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,0,0
6947,South Eastern,Bombala,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
6948,South Eastern,Bombala,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
6949,South Eastern,Bombala,Assault,Domestic violence related assault,11,6,6,7,5,10,10,11,16,10,7
6950,South Eastern,Bombala,Assault,Non-domestic violence related assault,12,14,7,6,11,11,10,11,12,12,15
6951,South Eastern,Bombala,Assault,Assault Police,0,1,4,2,1,1,0,0,0,0,0
6952,South Eastern,Bombala,Sexual offences,Sexual assault,2,12,1,1,1,2,3,1,3,2,3
6953,South Eastern,Bombala,Sexual offences,"Indecent assault, act of indecency and other sexual offences",9,2,7,2,5,1,1,2,3,3,4
6954,South Eastern,Bombala,Abduction and kidnapping,,0,0,0,0,0,0,0,0,0,0,0
6955,South Eastern,Bombala,Robbery,Robbery without a weapon,0,0,0,0,0,0,0,0,0,0,0
6956,South Eastern,Bombala,Robbery,Robbery with a firearm,0,0,0,0,0,0,0,0,0,0,0
6957,South Eastern,Bombala,Robbery,Robbery with a weapon not a firearm,0,0,0,0,0,0,0,0,0,0,0
6958,South Eastern,Bombala,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0
6959,South Eastern,Bombala,"Harassment, threatening behaviour and private nuisance",,9,9,14,7,6,8,6,29,9,11,15
6960,South Eastern,Bombala,Other offences against the person,,1,0,1,0,1,0,1,1,0,0,0
6961,South Eastern,Bombala,Theft,Break and enter dwelling,11,10,5,7,3,12,21,10,6,5,8
6962,South Eastern,Bombala,Theft,Break and enter non-dwelling,8,8,4,5,8,8,7,39,10,8,1
6963,South Eastern,Bombala,Theft,Receiving or handling stolen goods,2,0,2,1,0,0,0,0,0,0,0
6964,South Eastern,Bombala,Theft,Motor vehicle theft,1,3,2,2,0,0,4,2,1,0,2
6965,South Eastern,Bombala,Theft,Steal from motor vehicle,4,7,7,3,2,4,14,8,12,6,3
6966,South Eastern,Bombala,Theft,Steal from retail store,2,3,5,2,2,0,1,2,0,0,1
6967,South Eastern,Bombala,Theft,Steal from dwelling,10,12,5,13,5,5,10,9,8,11,5
6968,South Eastern,Bombala,Theft,Steal from person,1,2,0,0,0,0,0,1,0,0,0
6969,South Eastern,Bombala,Theft,Stock theft,9,3,8,5,5,4,1,5,2,8,7
6970,South Eastern,Bombala,Theft,Fraud,3,1,5,1,2,2,7,5,3,7,4
6971,South Eastern,Bombala,Theft,Other theft,16,22,21,11,14,9,19,12,7,13,9
6972,South Eastern,Bombala,Arson,,1,5,2,0,1,0,3,1,3,1,0
6973,South Eastern,Bombala,Malicious damage to property,,29,31,26,29,28,22,32,42,33,31,18
6974,South Eastern,Bombala,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,0,0,0,0
6975,South Eastern,Bombala,Drug offences,Possession and/or use of narcotics,0,0,0,0,0,0,0,0,0,0,0
6976,South Eastern,Bombala,Drug offences,Possession and/or use of cannabis,2,3,15,5,1,1,1,6,10,3,2
6977,South Eastern,Bombala,Drug offences,Possession and/or use of amphetamines,0,0,1,0,0,0,0,1,0,1,1
6978,South Eastern,Bombala,Drug offences,Possession and/or use of ecstasy,0,0,1,0,0,0,0,0,0,0,0
6979,South Eastern,Bombala,Drug offences,Possession and/or use of other drugs,0,0,0,0,0,0,0,0,0,2,0
6980,South Eastern,Bombala,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
6981,South Eastern,Bombala,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0
6982,South Eastern,Bombala,Drug offences,"Dealing, trafficking in cannabis",0,0,0,0,0,0,0,0,0,0,0
6983,South Eastern,Bombala,Drug offences,"Dealing, trafficking in amphetamines",0,0,0,0,0,0,0,0,0,0,0
6984,South Eastern,Bombala,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0
6985,South Eastern,Bombala,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,0,0,0,0
6986,South Eastern,Bombala,Drug offences,Cultivating cannabis,3,1,3,0,3,1,4,0,1,1,0
6987,South Eastern,Bombala,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0
6988,South Eastern,Bombala,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,1,0
6989,South Eastern,Bombala,Drug offences,Other drug offences,1,4,5,1,3,0,0,2,2,1,3
6990,South Eastern,Bombala,Prohibited and regulated weapons offences,,11,8,36,8,4,2,7,8,5,11,6
6991,South Eastern,Bombala,Disorderly conduct,Trespass,7,7,7,5,2,2,8,5,4,7,7
6992,South Eastern,Bombala,Disorderly conduct,Offensive conduct,1,1,6,3,1,3,1,1,2,5,1
6993,South Eastern,Bombala,Disorderly conduct,Offensive language,1,2,11,8,1,2,0,2,2,0,0
6994,South Eastern,Bombala,Disorderly conduct,Criminal intent,0,0,0,0,0,0,0,0,0,0,0
6995,South Eastern,Bombala,Betting and gaming offences,,0,0,0,0,0,0,0,0,0,0,0
6996,South Eastern,Bombala,Liquor offences,,10,5,6,15,8,3,5,11,9,5,6
6997,South Eastern,Bombala,Pornography offences,,0,0,0,0,0,0,0,0,0,0,0
6998,South Eastern,Bombala,Prostitution offences,,0,0,0,0,0,0,1,0,0,0,0
6999,South Eastern,Bombala,Against justice procedures,Escape custody,0,0,0,0,0,0,1,0,0,0,0
7000,South Eastern,Bombala,Against justice procedures,Breach Apprehended Violence Order,4,3,3,4,1,6,1,1,0,1,2
7001,South Eastern,Bombala,Against justice procedures,Breach bail conditions,0,0,1,0,1,1,0,1,0,1,0
7002,South Eastern,Bombala,Against justice procedures,Fail to appear,0,0,0,0,0,0,0,0,0,0,0
7003,South Eastern,Bombala,Against justice procedures,Resist or hinder officer,2,5,3,6,2,2,1,1,0,0,0
7004,South Eastern,Bombala,Against justice procedures,Other offences against justice procedures,0,0,0,0,0,0,3,1,0,0,0
7005,South Eastern,Bombala,Transport regulatory offences,,0,1,0,0,0,0,0,0,0,0,0
7006,South Eastern,Bombala,Other offences,,19,20,20,16,16,10,8,20,19,4,8
7007,South Eastern,Boorowa,Homicide,Murder (a),0,0,0,0,0,0,0,0,0,0,1
7008,South Eastern,Boorowa,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,0,0
7009,South Eastern,Boorowa,Homicide,"Murder accessory, conspiracy",0,zero,0,0,0,0,0,0,0,0,0
7010,South Eastern,Boorowa,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
7011,South Eastern,Boorowa,Assault,Domestic violence related assault,7,9,5,10,4,7,6,3,7,3,4
7012,South Eastern,Boorowa,Assault,Non-domestic violence related assault,5,5,6,4,10,5,6,6,3,6,9
7013,South Eastern,Boorowa,Assault,Assault Police,0,0,0,0,0,0,0,0,0,0,0
7014,South Eastern,Boorowa,Sexual offences,Sexual assault,1,1,0,2,2,1,2,3,0,3,4
7015,South Eastern,Boorowa,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1,1,1,3,zero,10,1,3,1,4,7
7016,South Eastern,Boorowa,Abduction and kidnapping,,0,1,0,0,0,0,0,0,0,0,0
7017,South Eastern,Boorowa,Robbery,Robbery without a weapon,0,1,0,0,0,0,0,0,0,0,0
7018,South Eastern,Boorowa,Robbery,Robbery with a firearm,0,0,0,0,0,0,0,0,0,0,0
7019,South Eastern,Boorowa,Robbery,Robbery with a weapon not a firearm,0,0,0,0,0,0,0,0,0,0,0
7020,South Eastern,Boorowa,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0
7021,South Eastern,Boorowa,"Harassment, threatening behaviour and private nuisance",,5,3,5,5,10,15,11,5,6,5,9
7022,South Eastern,Boorowa,Other offences against the person,,0,0,0,0,0,0,0,0,0,0,0
7023,South Eastern,Boorowa,Theft,Break and enter dwelling,8,4,10,12,11,3,1,7,7,7,1
7024,South Eastern,Boorowa,Theft,Break and enter non-dwelling,13,6,3,6,4,5,8,7,4,4,2
7025,South Eastern,Boorowa,Theft,Receiving or handling stolen goods,1,0,1,0,0,0,0,2,3,1,1
7026,South Eastern,Boorowa,Theft,Motor vehicle theft,3,3,2,3,5,3,1,1,4,0,2
7027,South Eastern,Boorowa,Theft,Steal from motor vehicle,3,3,1,7,11,10,0,3,6,5,6
7028,South Eastern,Boorowa,Theft,Steal from retail store,2,1,0,1,0,0,0,0,1,0,0
7029,South Eastern,Boorowa,Theft,Steal from dwelling,7,3,7,6,10,7,4,3,4,9,2
7030,South Eastern,Boorowa,Theft,Steal from person,0,1,0,0,0,0,0,0,0,0,0
7031,South Eastern,Boorowa,Theft,Stock theft,4,1,3,4,1,4,2,1,1,9,4
7032,South Eastern,Boorowa,Theft,Fraud,1,5,6,2,4,4,3,2,4,5,2
7033,South Eastern,Boorowa,Theft,Other theft,13,6,5,6,6,10,9,7,7,6,5
7034,South Eastern,Boorowa,Arson,,1,0,0,1,4,1,4,0,0,0,1
7035,South Eastern,Boorowa,Malicious damage to property,,14,15,18,20,16,25,8,16,9,16,8
7036,South Eastern,Boorowa,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,0,0,0,0
7037,South Eastern,Boorowa,Drug offences,Possession and/or use of narcotics,0,0,0,0,0,0,0,0,0,0,0
7038,South Eastern,Boorowa,Drug offences,Possession and/or use of cannabis,1,1,0,0,1,0,0,2,1,6,1
7039,South Eastern,Boorowa,Drug offences,Possession and/or use of amphetamines,0,0,1,0,0,0,0,0,0,1,0
7040,South Eastern,Boorowa,Drug offences,Possession and/or use of ecstasy,0,0,0,0,0,0,0,0,0,0,0
7041,South Eastern,Boorowa,Drug offences,Possession and/or use of other drugs,0,0,0,0,0,0,0,0,0,0,1
7042,South Eastern,Boorowa,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0
7043,South Eastern,Boorowa,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0
7044,South Eastern,Boorowa,Drug offences,"Dealing, trafficking in cannabis",0,1,0,0,1,0,1,0,0,0,0
7045,South Eastern,Boorowa,Drug offences,"Dealing, trafficking in amphetamines",0,0,0,0,0,4,0,0,0,0,0
7046,South Eastern,Boorowa,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0
7047,South Eastern,Boorowa,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,0,0,0,0
7048,South Eastern,Boorowa,Drug offences,Cultivating cannabis,1,2,0,1,1,2,0,1,1,1,0
7049,South Eastern,Boorowa,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0
7050,South Eastern,Boorowa,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0
7051,South Eastern,Boorowa,Drug offences,Other drug offences,0,2,2,1,0,1,0,0,1,1,0
7052,South Eastern,Boorowa,Prohibited and regulated weapons offences,,1,6,6,3,2,8,6,6,5,8,7
7053,South Eastern,Boorowa,Disorderly conduct,Trespass,4,0,5,6,5,9,4,1,5,7,2
7054,South Eastern,Boorowa,Disorderly conduct,Offensive conduct,1,3,1,4,zero,2,6,6,6,8,0
7055,South Eastern,Boorowa,Disorderly conduct,Offensive language,1,1,1,1,1,5,4,1,1,8,2
7056,South Eastern,Boorowa,Disorderly conduct,Criminal intent,0,0,0,0,0,0,0,0,0,0,0
7057,South Eastern,Boorowa,Betting and gaming offences,,0,3,0,0,7,0,1,0,0,0,0
7058,South Eastern,Boorowa,Liquor offences,,5,8,11,12,50,7,6,2,7,5,0
7059,South Eastern,Boorowa,Pornography offences,,0,0,0,0,0,0,0,0,0,0,0
7060,South Eastern,Boorowa,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0
7061,South Eastern,Boorowa,Against justice procedures,Escape custody,0,0,0,0,0,0,0,0,0,0,0
7062,South Eastern,Boorowa,Against justice procedures,Breach Apprehended Violence Order,2,3,2,1,4,1,3,1,2,1,4
7063,South Eastern,Boorowa,Against justice procedures,Breach bail conditions,0,0,0,1,1,1,0,0,1,0,1
7064,South Eastern,Boorowa,Against justice procedures,Fail to appear,0,0,1,0,0,0,0,0,0,0,0
7065,South Eastern,Boorowa,Against justice procedures,Resist or hinder officer,0,1,1,0,0,1,0,0,1,0,1
7066,South Eastern,Boorowa,Against justice procedures,Other offences against justice procedures,1,0,0,0,1,0,0,0,0,0,0
7067,South Eastern,Boorowa,Transport regulatory offences,,0,0,0,0,0,0,0,0,0,0,0
7068,South Eastern,Boorowa,Other offences,,10,4,6,5,11,9,6,3,6,3,2
7069,South Eastern,Cooma-Monaro,Homicide,Murder (a),1,3,0,0,0,0,1,0,0,0,0
7070,South Eastern,Cooma-Monaro,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,1,0
7071,South Eastern,Cooma-Monaro,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0
7072,South Eastern,Cooma-Monaro,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0
7073,South Eastern,Cooma-Monaro,Assault,Domestic violence related assault,26,30,27,30,26,32,43,34,20,55,36
7074,South Eastern,Cooma-Monaro,Assault,Non-domestic violence related assault,69,49,55,44,62,87,86,64,58,68,56
7075,South Eastern,Cooma-Monaro,Assault,Assault Police,2,2,4,3,2,0,2,1,1,6,4
7076,South Eastern,Cooma-Monaro,Sexual offences,Sexual assault,11,4,4,4,6,9,7,8,5,7,7
7077,South Eastern,Cooma-Monaro,Sexual offences,"Indecent assault, act of indecency and other sexual offences",9,3,7,8,9,9,10,7,10,13,12
7078,South Eastern,Cooma-Monaro,Abduction and kidnapping,,1,1,0,0,0,1,1,2,0,1,0
7079,South Eastern,Cooma-Monaro,Robbery,Robbery without a weapon,0,0,0,2,1,0,0,2,0,1,1
7080,South Eastern,Cooma-Monaro,Robbery,Robbery with a firearm,1,1,0,1,0,0,0,0,0,0,0
7081,South Eastern,Cooma-Monaro,Robbery,Robbery with a weapon not a firearm,0,0,0,0,0,0,0,0,3,0,0
7082,South Eastern,Cooma-Monaro,Blackmail and extortion,,0,0,0,0,0,0,0,0,1,0,0
